
Time taken: 0.00223 s


saleid | itemid | customerid | storeid | time | qty | pricerange
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 274 | 7477 | 25 | 73 | 29 | 36 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 88134 | 13259 | 25 | 56 | 98 | 4 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 63542 | 8692 | 25 | 52 | 73 | 28 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 65792 | 11952 | 25 | 24 | 73 | 15 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 63254 | 12047 | 25 | 41 | 73 | 48 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 75107 | 13053 | 25 | 36 | 73 | 16 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 58776 | 8159 | 25 | 17 | 73 | 42 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 27435 | 9212 | 25 | 44 | 73 | 48 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 71355 | 10123 | 25 | 31 | 73 | 28 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 69017 | 10108 | 25 | 78 | 98 | 27 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 54936 | 9922 | 25 | 44 | 22 | 19 | moderate
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 86282 | 11532 | 25 | 17 | 2 | 30 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 75788 | 12431 | 25 | 79 | 73 | 19 | expensive
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 54629 | 11205 | 25 | 4 | 48 | 4 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 60671 | 8693 | 25 | 77 | 73 | 23 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 27127 | 8762 | 25 | 51 | 73 | 38 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 3153 | 12228 | 25 | 21 | 16 | 22 | moderate
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 55164 | 8503 | 25 | 27 | 73 | 33 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 45141 | 9494 | 25 | 73 | 21 | 4 | expensive
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 57033 | 7310 | 25 | 88 | 73 | 48 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 68297 | 7701 | 25 | 6 | 73 | 22 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 81986 | 10567 | 25 | 92 | 73 | 35 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 1627 | 10290 | 25 | 2 | 42 | 29 | expensive
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 68723 | 11643 | 25 | 57 | 73 | 11 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 30688 | 9156 | 25 | 81 | 73 | 9 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 38601 | 12275 | 25 | 40 | 95 | 46 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 51028 | 6108 | 25 | 55 | 73 | 37 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 744 | 10037 | 25 | 4 | 99 | 25 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 36524 | 7319 | 25 | 64 | 73 | 8 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 36659 | 4673 | 25 | 64 | 28 | 19 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 12588 | 9930 | 25 | 47 | 73 | 40 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 98853 | 10008 | 25 | 67 | 73 | 39 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 73199 | 8003 | 25 | 59 | 95 | 7 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 90426 | 8821 | 25 | 18 | 73 | 20 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 32236 | 10969 | 25 | 7 | 92 | 32 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 62591 | 12432 | 25 | 4 | 73 | 2 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 49740 | 6500 | 25 | 29 | 73 | 36 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 1974 | 9950 | 25 | 98 | 95 | 32 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 3311 | 11642 | 25 | 88 | 73 | 3 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 78231 | 7767 | 25 | 70 | 73 | 42 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 60481 | 7246 | 25 | 60 | 69 | 21 | moderate
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 77149 | 9693 | 25 | 52 | 42 | 26 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 58531 | 9500 | 25 | 45 | 34 | 33 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 70600 | 7202 | 25 | 43 | 73 | 31 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 37873 | 8576 | 25 | 86 | 50 | 40 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 90460 | 11676 | 25 | 52 | 34 | 33 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 1061 | 11446 | 25 | 35 | 16 | 49 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 39402 | 10412 | 25 | 32 | 73 | 3 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 39869 | 8588 | 25 | 20 | 73 | 22 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 96968 | 10325 | 25 | 73 | 73 | 20 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 398 | 18914 | 25 | 99 | 47 | 48 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 31038 | 7300 | 25 | 76 | 92 | 49 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 93070 | 8890 | 25 | 6 | 73 | 42 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 41580 | 13875 | 25 | 49 | 73 | 41 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 82055 | 6918 | 25 | 89 | 73 | 32 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 48898 | 11852 | 25 | 50 | 73 | 3 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 12795 | 6311 | 25 | 25 | 73 | 43 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 39883 | 11348 | 25 | 13 | 97 | 19 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 39471 | 9109 | 25 | 30 | 74 | 9 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 98906 | 11428 | 25 | 5 | 73 | 12 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 57570 | 4777 | 25 | 62 | 15 | 19 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 83864 | 13328 | 25 | 28 | 73 | 5 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 92906 | 12333 | 25 | 48 | 73 | 18 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 31565 | 10258 | 25 | 70 | 39 | 14 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 64414 | 11512 | 25 | 71 | 73 | 18 | cheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 91251 | 9285 | 25 | 33 | 73 | 47 | expensive
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 33524 | 7689 | 25 | 48 | 73 | 2 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 28403 | 10722 | 25 | 8 | 73 | 5 | expensive
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 56208 | 7664 | 25 | 15 | 32 | 47 | supercheap
622 | 111 | 25 | 60 | 61 | 15 | outrageous | 6433 | 10757 | 25 | 43 | 61 | 4 | supercheap
330 | 103 | 130 | 94 | 69 | 11 | outrageous | 55704 | 10482 | 130 | 62 | 73 | 18 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 82506 | 11450 | 25 | 33 | 93 | 17 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 33377 | 10728 | 25 | 96 | 86 | 33 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 37363 | 8780 | 25 | 68 | 41 | 34 | expensive
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 47400 | 11327 | 25 | 60 | 73 | 25 | expensive
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 50809 | 9599 | 25 | 62 | 73 | 18 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 65941 | 11458 | 25 | 34 | 25 | 37 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 23256 | 13244 | 25 | 98 | 92 | 34 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 26844 | 9244 | 25 | 70 | 73 | 7 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 28250 | 7833 | 25 | 83 | 95 | 2 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 274 | 7477 | 25 | 73 | 29 | 36 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 88134 | 13259 | 25 | 56 | 98 | 4 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 63542 | 8692 | 25 | 52 | 73 | 28 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 65792 | 11952 | 25 | 24 | 73 | 15 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 63254 | 12047 | 25 | 41 | 73 | 48 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 75107 | 13053 | 25 | 36 | 73 | 16 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 58776 | 8159 | 25 | 17 | 73 | 42 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 27435 | 9212 | 25 | 44 | 73 | 48 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 71355 | 10123 | 25 | 31 | 73 | 28 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 69017 | 10108 | 25 | 78 | 98 | 27 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 54936 | 9922 | 25 | 44 | 22 | 19 | moderate
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 86282 | 11532 | 25 | 17 | 2 | 30 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 75788 | 12431 | 25 | 79 | 73 | 19 | expensive
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 54629 | 11205 | 25 | 4 | 48 | 4 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 60671 | 8693 | 25 | 77 | 73 | 23 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 27127 | 8762 | 25 | 51 | 73 | 38 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 3153 | 12228 | 25 | 21 | 16 | 22 | moderate
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 55164 | 8503 | 25 | 27 | 73 | 33 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 45141 | 9494 | 25 | 73 | 21 | 4 | expensive
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 57033 | 7310 | 25 | 88 | 73 | 48 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 68297 | 7701 | 25 | 6 | 73 | 22 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 81986 | 10567 | 25 | 92 | 73 | 35 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 1627 | 10290 | 25 | 2 | 42 | 29 | expensive
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 68723 | 11643 | 25 | 57 | 73 | 11 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 30688 | 9156 | 25 | 81 | 73 | 9 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 38601 | 12275 | 25 | 40 | 95 | 46 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 51028 | 6108 | 25 | 55 | 73 | 37 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 744 | 10037 | 25 | 4 | 99 | 25 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 36524 | 7319 | 25 | 64 | 73 | 8 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 36659 | 4673 | 25 | 64 | 28 | 19 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 12588 | 9930 | 25 | 47 | 73 | 40 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 98853 | 10008 | 25 | 67 | 73 | 39 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 73199 | 8003 | 25 | 59 | 95 | 7 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 90426 | 8821 | 25 | 18 | 73 | 20 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 32236 | 10969 | 25 | 7 | 92 | 32 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 62591 | 12432 | 25 | 4 | 73 | 2 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 49740 | 6500 | 25 | 29 | 73 | 36 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 1974 | 9950 | 25 | 98 | 95 | 32 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 3311 | 11642 | 25 | 88 | 73 | 3 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 78231 | 7767 | 25 | 70 | 73 | 42 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 60481 | 7246 | 25 | 60 | 69 | 21 | moderate
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 77149 | 9693 | 25 | 52 | 42 | 26 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 58531 | 9500 | 25 | 45 | 34 | 33 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 70600 | 7202 | 25 | 43 | 73 | 31 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 37873 | 8576 | 25 | 86 | 50 | 40 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 90460 | 11676 | 25 | 52 | 34 | 33 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 1061 | 11446 | 25 | 35 | 16 | 49 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 39402 | 10412 | 25 | 32 | 73 | 3 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 39869 | 8588 | 25 | 20 | 73 | 22 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 96968 | 10325 | 25 | 73 | 73 | 20 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 398 | 18914 | 25 | 99 | 47 | 48 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 31038 | 7300 | 25 | 76 | 92 | 49 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 93070 | 8890 | 25 | 6 | 73 | 42 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 41580 | 13875 | 25 | 49 | 73 | 41 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 82055 | 6918 | 25 | 89 | 73 | 32 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 48898 | 11852 | 25 | 50 | 73 | 3 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 12795 | 6311 | 25 | 25 | 73 | 43 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 39883 | 11348 | 25 | 13 | 97 | 19 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 39471 | 9109 | 25 | 30 | 74 | 9 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 98906 | 11428 | 25 | 5 | 73 | 12 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 57570 | 4777 | 25 | 62 | 15 | 19 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 83864 | 13328 | 25 | 28 | 73 | 5 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 92906 | 12333 | 25 | 48 | 73 | 18 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 31565 | 10258 | 25 | 70 | 39 | 14 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 64414 | 11512 | 25 | 71 | 73 | 18 | cheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 91251 | 9285 | 25 | 33 | 73 | 47 | expensive
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 33524 | 7689 | 25 | 48 | 73 | 2 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 28403 | 10722 | 25 | 8 | 73 | 5 | expensive
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 56208 | 7664 | 25 | 15 | 32 | 47 | supercheap
507 | 118 | 25 | 54 | 46 | 27 | outrageous | 6433 | 10757 | 25 | 43 | 61 | 4 | supercheap
650 | 92 | 195 | 91 | 84 | 15 | expensive | 63875 | 9916 | 195 | 47 | 73 | 49 | supercheap
650 | 92 | 195 | 91 | 84 | 15 | expensive | 53071 | 10450 | 195 | 36 | 73 | 34 | supercheap
650 | 92 | 195 | 91 | 84 | 15 | expensive | 69094 | 8712 | 195 | 3 | 75 | 22 | outrageous
650 | 92 | 195 | 91 | 84 | 15 | expensive | 30830 | 10699 | 195 | 83 | 41 | 15 | supercheap
862 | 122 | 59 | 66 | 67 | 29 | outrageous | 63187 | 10835 | 59 | 72 | 73 | 19 | moderate
862 | 122 | 59 | 66 | 67 | 29 | outrageous | 28008 | 13033 | 59 | 65 | 73 | 4 | supercheap
862 | 122 | 59 | 66 | 67 | 29 | outrageous | 78742 | 9419 | 59 | 63 | 73 | 49 | supercheap
862 | 122 | 59 | 66 | 67 | 29 | outrageous | 26436 | 8300 | 59 | 38 | 73 | 15 | cheap
862 | 122 | 59 | 66 | 67 | 29 | outrageous | 31043 | 10675 | 59 | 29 | 73 | 10 | outrageous
862 | 122 | 59 | 66 | 67 | 29 | outrageous | 61517 | 13041 | 59 | 85 | 73 | 46 | supercheap
952 | 136 | 59 | 41 | 30 | 7 | outrageous | 63187 | 10835 | 59 | 72 | 73 | 19 | moderate
952 | 136 | 59 | 41 | 30 | 7 | outrageous | 28008 | 13033 | 59 | 65 | 73 | 4 | supercheap
952 | 136 | 59 | 41 | 30 | 7 | outrageous | 78742 | 9419 | 59 | 63 | 73 | 49 | supercheap
952 | 136 | 59 | 41 | 30 | 7 | outrageous | 26436 | 8300 | 59 | 38 | 73 | 15 | cheap
952 | 136 | 59 | 41 | 30 | 7 | outrageous | 31043 | 10675 | 59 | 29 | 73 | 10 | outrageous
952 | 136 | 59 | 41 | 30 | 7 | outrageous | 61517 | 13041 | 59 | 85 | 73 | 46 | supercheap
896 | 77 | 130 | 85 | 67 | 35 | outrageous | 55704 | 10482 | 130 | 62 | 73 | 18 | supercheap
637 | 68 | 195 | 84 | 67 | 37 | outrageous | 63875 | 9916 | 195 | 47 | 73 | 49 | supercheap
637 | 68 | 195 | 84 | 67 | 37 | outrageous | 53071 | 10450 | 195 | 36 | 73 | 34 | supercheap
637 | 68 | 195 | 84 | 67 | 37 | outrageous | 69094 | 8712 | 195 | 3 | 75 | 22 | outrageous
637 | 68 | 195 | 84 | 67 | 37 | outrageous | 30830 | 10699 | 195 | 83 | 41 | 15 | supercheap
853 | 65 | 102 | 72 | 67 | 31 | supercheap | 28951 | 3851 | 102 | 1 | 61 | 43 | supercheap
853 | 65 | 102 | 72 | 67 | 31 | supercheap | 91151 | 8227 | 102 | 5 | 95 | 3 | cheap
768 | 61 | 59 | 4 | 16 | 36 | outrageous | 63187 | 10835 | 59 | 72 | 73 | 19 | moderate
768 | 61 | 59 | 4 | 16 | 36 | outrageous | 28008 | 13033 | 59 | 65 | 73 | 4 | supercheap
768 | 61 | 59 | 4 | 16 | 36 | outrageous | 78742 | 9419 | 59 | 63 | 73 | 49 | supercheap
768 | 61 | 59 | 4 | 16 | 36 | outrageous | 26436 | 8300 | 59 | 38 | 73 | 15 | cheap
768 | 61 | 59 | 4 | 16 | 36 | outrageous | 31043 | 10675 | 59 | 29 | 73 | 10 | outrageous
768 | 61 | 59 | 4 | 16 | 36 | outrageous | 61517 | 13041 | 59 | 85 | 73 | 46 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 28270 | 8299 | 65 | 59 | 31 | 48 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 38028 | 8752 | 65 | 28 | 73 | 41 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 32132 | 19066 | 65 | 83 | 73 | 1 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 41536 | 11040 | 65 | 67 | 16 | 19 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 98346 | 1256 | 65 | 27 | 16 | 50 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 44134 | 8510 | 65 | 1 | 95 | 48 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 42317 | 12992 | 65 | 48 | 16 | 13 | expensive
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 79258 | 8156 | 65 | 70 | 73 | 41 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 54704 | 11185 | 65 | 56 | 73 | 16 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 73239 | 9493 | 65 | 49 | 76 | 3 | cheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 43902 | 11699 | 65 | 24 | 73 | 33 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 48033 | 10360 | 65 | 9 | 73 | 37 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 31992 | 8230 | 65 | 38 | 73 | 47 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 86608 | 538 | 65 | 40 | 73 | 38 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 16290 | 10937 | 65 | 55 | 22 | 31 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 98188 | 10260 | 65 | 74 | 63 | 12 | outrageous
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 95827 | 8027 | 65 | 18 | 94 | 15 | moderate
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 25492 | 12188 | 65 | 81 | 16 | 25 | supercheap
374 | 106 | 65 | 41 | 46 | 1 | outrageous | 9498 | 7986 | 65 | 65 | 46 | 35 | outrageous
923 | 94 | 200 | 13 | 98 | 7 | outrageous | 78432 | 13832 | 200 | 90 | 46 | 28 | supercheap
923 | 94 | 200 | 13 | 98 | 7 | outrageous | 40012 | 12859 | 200 | 51 | 73 | 17 | supercheap
589 | 115 | 130 | 10 | 67 | 42 | outrageous | 55704 | 10482 | 130 | 62 | 73 | 18 | supercheap
651 | 105 | 159 | 80 | 92 | 27 | outrageous | 39488 | 10354 | 159 | 43 | 63 | 38 | cheap
651 | 105 | 159 | 80 | 92 | 27 | outrageous | 30266 | 6589 | 159 | 70 | 73 | 33 | supercheap
100 | 127 | 47 | 28 | 67 | 36 | outrageous | 89829 | 13336 | 47 | 12 | 73 | 29 | supercheap
100 | 127 | 47 | 28 | 67 | 36 | outrageous | 9616 | 15547 | 47 | 7 | 73 | 4 | cheap
100 | 127 | 47 | 28 | 67 | 36 | outrageous | 38714 | 8349 | 47 | 48 | 70 | 41 | supercheap
320 | 70 | 196 | 70 | 13 | 18 | outrageous | 17672 | 11246 | 196 | 95 | 11 | 24 | supercheap
320 | 70 | 196 | 70 | 13 | 18 | outrageous | 17546 | 6102 | 196 | 98 | 5 | 31 | supercheap
320 | 70 | 196 | 70 | 13 | 18 | outrageous | 33458 | 13437 | 196 | 18 | 92 | 16 | cheap
320 | 70 | 196 | 70 | 13 | 18 | outrageous | 78294 | 10166 | 196 | 81 | 81 | 29 | supercheap
320 | 70 | 196 | 70 | 13 | 18 | outrageous | 59125 | 9868 | 196 | 39 | 97 | 16 | moderate
320 | 70 | 196 | 70 | 13 | 18 | outrageous | 87324 | 10174 | 196 | 89 | 73 | 16 | expensive
320 | 70 | 196 | 70 | 13 | 18 | outrageous | 74425 | 8412 | 196 | 23 | 19 | 28 | supercheap
864 | 119 | 12 | 38 | 67 | 49 | outrageous | 35198 | 11075 | 12 | 68 | 73 | 31 | cheap
864 | 119 | 12 | 38 | 67 | 49 | outrageous | 74619 | 10673 | 12 | 79 | 73 | 47 | cheap
864 | 119 | 12 | 38 | 67 | 49 | outrageous | 69713 | 10706 | 12 | 65 | 50 | 46 | cheap
864 | 119 | 12 | 38 | 67 | 49 | outrageous | 74033 | 10790 | 12 | 53 | 92 | 20 | supercheap
978 | 83 | 174 | 19 | 65 | 45 | outrageous | 1564 | 11093 | 174 | 11 | 92 | 4 | moderate
978 | 83 | 174 | 19 | 65 | 45 | outrageous | 92403 | 11182 | 174 | 69 | 69 | 5 | outrageous
269 | 70 | 59 | 27 | 67 | 11 | expensive | 63187 | 10835 | 59 | 72 | 73 | 19 | moderate
269 | 70 | 59 | 27 | 67 | 11 | expensive | 28008 | 13033 | 59 | 65 | 73 | 4 | supercheap
269 | 70 | 59 | 27 | 67 | 11 | expensive | 78742 | 9419 | 59 | 63 | 73 | 49 | supercheap
269 | 70 | 59 | 27 | 67 | 11 | expensive | 26436 | 8300 | 59 | 38 | 73 | 15 | cheap
269 | 70 | 59 | 27 | 67 | 11 | expensive | 31043 | 10675 | 59 | 29 | 73 | 10 | outrageous
269 | 70 | 59 | 27 | 67 | 11 | expensive | 61517 | 13041 | 59 | 85 | 73 | 46 | supercheap
462 | 85 | 130 | 98 | 89 | 38 | outrageous | 55704 | 10482 | 130 | 62 | 73 | 18 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 82506 | 11450 | 25 | 33 | 93 | 17 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 33377 | 10728 | 25 | 96 | 86 | 33 | cheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 37363 | 8780 | 25 | 68 | 41 | 34 | expensive
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 47400 | 11327 | 25 | 60 | 73 | 25 | expensive
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 50809 | 9599 | 25 | 62 | 73 | 18 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 65941 | 11458 | 25 | 34 | 25 | 37 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 23256 | 13244 | 25 | 98 | 92 | 34 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 26844 | 9244 | 25 | 70 | 73 | 7 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 28250 | 7833 | 25 | 83 | 95 | 2 | cheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 274 | 7477 | 25 | 73 | 29 | 36 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 88134 | 13259 | 25 | 56 | 98 | 4 | supercheap
261 | 107 | 25 | 70 | 67 | 10 | outrageous | 63542 | 8692 | 25 | 52 | 73 | 28 | cheap
